issue,topic
0,5
1,26
2,8
3,28
4,25
5,23
6,6
7,23
8,8
9,26
10,6
11,8
12,0
13,8
14,29
15,24
16,28
17,17
18,17
19,15
20,18
21,23
22,29
23,29
24,1
25,29
26,29
27,29
28,29
29,0
30,7
31,22
32,31
33,6
34,26
35,28
36,26
37,10
38,30
39,29
40,22
41,26
42,29
43,7
44,10
45,19
46,10
47,19
48,7
49,29
50,19
51,22
52,31
53,29
54,29
55,1
56,23
57,19
58,1
59,4
60,26
61,23
62,29
63,31
64,29
65,8
66,11
67,29
68,8
69,29
70,29
71,29
72,8
73,29
74,29
75,29
76,29
77,30
78,29
79,29
80,29
81,29
82,29
83,14
84,29
85,29
86,28
87,29
88,16
89,25
90,23
91,28
92,22
93,6
94,4
95,26
96,26
97,26
98,0
99,4
100,22
101,4
102,4
103,4
104,4
105,17
106,31
107,14
108,31
109,5
110,31
111,27
112,15
113,27
114,27
115,22
116,8
117,8
118,29
119,24
120,17
121,22
122,6
123,0
124,27
125,27
126,27
127,6
128,16
129,29
130,14
131,7
132,3
133,20
134,29
135,29
136,3
137,7
138,13
139,17
140,17
141,17
142,16
143,13
144,12
145,8
146,27
147,4
148,9
149,2
150,27
151,10
152,29
153,25
154,28
155,29
156,8
157,22
158,29
159,21
160,29
161,16
162,5
163,29
164,31
165,29
166,13
167,26
168,29
169,19
170,28
171,26
172,22
173,31
174,22
175,26
176,27
177,15
178,15
179,15
180,26
181,2
182,26
183,16
184,24
185,30
186,27
187,10
188,10
189,31
190,3
191,29
192,29
193,26
194,2
195,10
196,26
197,22
198,21
199,29
200,29
201,29
202,16
203,14
204,2
205,3
206,26
207,3
208,29
209,29
210,27
211,29
212,29
213,29
214,29
215,29
216,29
217,29
218,29
219,30
220,29
221,29
222,29
223,29
224,29
225,29
226,29
227,29
228,29
229,29
230,29
231,29
232,29
233,29
234,29
235,30
236,19
237,8
238,24
239,29
240,29
241,29
242,26
243,16
244,6
245,19
246,3
247,29
248,30
249,18
250,29
251,19
252,28
253,27
254,16
255,8
256,31
257,31
258,23
259,16
260,22
261,22
262,31
263,19
264,3
265,29
266,19
267,29
268,29
269,29
270,19
271,29
272,29
273,27
274,13
275,10
276,28
277,11
278,25
279,7
280,11
281,11
282,25
283,25
284,19
285,11
286,29
287,29
288,29
289,26
290,29
291,28
292,22
293,19
294,31
295,29
296,29
297,23
298,29
299,29
300,29
301,7
302,1
303,24
304,1
305,7
306,3
307,19
308,20
309,19
310,20
311,16
312,29
313,22
314,28
315,18
316,29
317,29
318,22
319,2
320,2
321,2
322,2
323,2
324,2
325,7
326,22
327,21
328,30
329,27
330,21
331,28
332,0
333,29
334,26
335,19
336,0
337,30
338,31
339,7
340,7
341,29
342,22
343,15
344,2
345,17
346,15
347,23
348,31
349,31
350,31
351,18
352,0
353,30
354,29
355,29
356,20
357,29
358,29
359,0
360,23
361,0
362,4
363,20
364,29
365,10
366,26
367,30
368,30
369,30
370,29
371,27
372,31
373,10
374,2
375,19
376,17
377,10
378,7
379,28
380,2
381,2
382,29
383,1
384,26
385,28
386,28
387,9
388,8
389,18
390,30
391,30
392,31
393,19
394,17
395,17
396,28
397,19
398,31
399,29
400,3
401,17
402,1
403,14
404,31
405,19
406,3
407,3
408,1
409,13
410,18
411,26
412,27
413,27
414,27
415,29
416,13
417,17
418,4
419,5
420,29
421,29
422,30
423,30
424,30
425,29
426,1
427,7
428,20
429,18
430,7
431,8
432,13
433,13
434,28
435,29
436,28
437,29
438,27
439,26
440,14
441,18
442,29
443,25
444,31
445,17
446,30
447,29
448,21
449,7
450,25
451,16
452,15
453,27
454,28
455,31
456,21
457,1
458,1
459,26
460,0
461,7
462,29
463,25
464,30
465,13
466,17
467,15
468,29
469,29
470,29
471,28
472,0
473,0
474,29
475,7
476,19
477,24
478,21
479,26
480,23
481,31
482,6
483,29
484,5
485,25
486,29
487,3
488,17
489,28
490,28
491,3
492,29
493,17
494,26
495,7
496,9
497,12
498,2
499,27
500,29
