,0,1
A13253565831/wxapp_newRestaurant,0.0,0.0
cryptokylin/CryptoKylin-Testnet,0.18,0.075
react-toolbox/react-toolbox-example,0.3833333333333333,0.15
kubernetes/committee-security-response,0.0,0.0
xiaolai/help-to-be-helped,0.0,0.0
SpaceApps2016/Resources,0.0,0.0
chschoenenberger/covid19_dashboard,0.1,0.04
sirkitree/angular-directive.g-signin,0.16666666666666666,0.08571428571428572
jorgevgut/airquality-mx,0.0,0.0
llSourcell/AI_Writer,0.0625,0.0625
pitiwazou/Scripts-Blender,0.2,1.0
web3p/ethereum-tx,0.16666666666666666,0.08571428571428572
samuel/go-opencl,0.2,1.0
MadStudioRoblox/ProfileService,0.0,0.0
0xPrateek/Stardox,0.06666666666666667,0.02
chingyawhao/materialize-clockpicker,0.1,0.02857142857142857
sintrb/WaveAccess,0.0,0.0
neoremind/coddding,0.0,0.0
skavinvarnan/Cross-Platform-AES,0.2333333333333333,0.08571428571428572
JeffHoogland/pyxhook,0.0,0.0
notanumber/xapian-haystack,0.5433333333333333,0.1176470588235294
Crowd9/Benchmark,0.1,0.02857142857142857
ruscoe/Android-Tile-Based-Game,0.0,0.0
fraserxu/ionic-rating,0.04,0.02857142857142857
OrchardCMS/OrchardCore.Commerce,0.3833333333333333,0.17142857142857143
ichuang/tflearn_wide_and_deep,0.125,0.25
JackDanielsAndCode/react-native-multi-slider,0.3833333333333333,0.13333333333333333
njcx/pocsuite_poc_collect,0.0,0.0
mattloper/chumpy,0.32,0.15
cmprescott/ansible-xml,0.2,0.06000000000000001
jgranick/actuate,0.0,0.0
Chronic-Dev/libirecovery,0.2,0.1
gpouilloux/gnome-shell-extension-docker,0.2,0.02857142857142857
mandiant/flare-dbg,0.0,0.0
tao12345666333/tornado-zh,0.0,0.0
cld378632668/ucas_course_tool,0.0,0.0
ilblackdragon/tf_examples,0.7,0.75
tensorlayer/DAGAN,0.0,0.0
yaa110/Memento,0.0,0.0
Dreadstar22/AWS-FAQ,0.0,0.0
ansiblebit/oracle-java,0.16666666666666666,0.06000000000000001
match5/thsauto,0.29166666666666663,0.1875
jaredhanson/passport-totp,0.04,0.04
thiagobustamante/typescript-rest-swagger,0.6433333333333333,0.25
huwenxianglyy/bert-use-demo,0.0,0.0
homejim/mybatis-cn,0.0,0.0
chenjr0719/Facebook-Page-Crawler,0.2333333333333333,0.12000000000000002
gqf2008/bbllive,0.0,0.0
spring-projects-experimental/spring-cloud-etcd,0.0,0.0
gateio/gateapi-python,0.76,0.22222222222222224
pavelrisenberg/fitbitphp,0.4,0.12000000000000002
MicrocontrollersAndMore/Raspberry_Pi_2_and_OpenCV_3_Tutorial_Part_1,0.0,0.0
codebox/moment-precise-range,0.0,0.0
dobromir-hristov/vuecommunity,0.2333333333333333,0.12000000000000002
shenzhe/geohash,0.0,0.0
astockwell/countries-and-provinces-states-regions,0.0,0.0
evilcos/python-webshell,0.0,0.0
arvindr21/myRESTApp,0.0,0.0
mahmoodlab/NucleiSegmentation,0.0,0.0
kazu-yamamoto/logger,0.04,0.01818181818181818
tensor-infinity/machine_learning_and_application_v1,0.0,0.0
paul-schaaf/spl-token-ui,0.27999999999999997,0.08571428571428572
danielmiessler/vim,0.0,0.0
codinguser/android_contact_picker,0.27999999999999997,0.12000000000000002
jnicol/tweet-php,0.1,0.04
mlehman/nlp-intent-toolkit,0.0,0.0
tamasmeszaros/libnest2d,0.25,0.0625
mattermoran/map_launcher,0.2866666666666666,0.13333333333333333
lululxvi/deeponet,0.08333333333333333,0.1111111111111111
ocelma/python-itunes,0.125,0.0625
SilentCicero/ethereumjs-accounts,0.0625,0.0625
carrascoacd/ArduinoSIM800L,0.18,0.12000000000000002
fabio-miranda/csv-to-influxdb,0.25,0.0625
leonid-shevtsov/unobtrusive_flash,0.6,0.2
ibspoof/ng-iScroll,0.06666666666666667,0.04
njanirudh/Aruco_Tracker,0.25,0.25
hakandilek/play2-crud,0.27999999999999997,0.06666666666666667
AlexQuevillon/UnrealPythonLibrary,0.0,0.0
chennyhuang/LeftSlide,0.0,0.0
phamdinhkhanh/SQLCode,0.0,0.0
serverless/serverless-websockets-plugin,0.8333333333333333,0.75
DusanKasan/parsemail,0.0,0.0
richardschneider/net-mdns,0.4,0.06000000000000001
apache/cordova-node-xcode,0.18,0.075
rrweb-io/rrweb-snapshot,0.71,0.22222222222222224
pipermerriam/flex,0.35333333333333333,0.13333333333333333
ozekiltd/Onvif-IP-Camera-Viewer,0.2,1.0
zhousoft/TsingHuaDataStructOj,0.0,0.0
thangmam/smoothratingbar,0.1,0.025
LittletreeZou/Question-Pairs-Matching,0.0,0.0
Jon-Becker/nft-generator-py,0.2,0.025
pranoyr/head-detection-using-yolo,0.27999999999999997,0.12000000000000002
glamorous/TMDb-PHP-API,0.0,0.0
gawen/virustotal,0.08333333333333333,0.1111111111111111
FunctionDou/STL,0.0,0.0
willdurand/nmap,0.21666666666666667,0.3333333333333333
Red-Folder/Cordova-Plugin-BackgroundService,0.16666666666666666,0.06666666666666667
ncase/door,0.5,0.25
zhanyuzhang/super-tinypng,0.0,0.0
gglockner/teslajson,0.3333333333333333,0.12000000000000002
criteo/cassandra_exporter,0.06666666666666667,0.02
compilelife/feiq,0.0,0.0
bc-game-project/bcgame-crash,0.5,0.25
abusetelegram/telegram-recorder,0.0,0.0
irungentoo/filter_audio,0.125,0.0625
WebDevSimplified/Design-Patterns,0.0,0.0
RamadhanAmizudin/Wordpress-scanner,0.0,0.0
sifive/sifive-blocks,0.0,0.0
eon01/AWS-CheatSheet,0.0,0.0
changetjut/ProxySpider,0.0,0.0
twocucao/YaVueBlog,0.0,0.0
ahsayde/Serial-Lab,1.0,0.75
rjrodger/seneca-examples,0.2,0.02
FavioVazquez/kaggle-learning,0.0,0.0
jessecooper/pyetrade,0.3,0.075
zlzeng/DeepFloorplan,0.08333333333333333,0.0625
mlaiacker/rosbag2video,0.55,0.17142857142857143
SeleniumHQ/fluent-selenium,0.27777777777777773,0.3333333333333333
krohling/ArduinoPusherClient,0.0,0.0
oreillymedia/essential-sqlalchemy-2e,0.0,0.0
DrJia/AndroidLogCollector,0.0,0.0
gippy/instagram-scraper,0.16666666666666666,0.046153846153846156
denjones/hexo-theme-chan,0.125,0.0625
zmalltalker/fish-nuggets,0.0,0.0
egramtel/tdsharp,0.2,0.01818181818181818
FlyTechVideos/BluescreenSimulator,0.18,0.06000000000000001
KevinSheedy/jquery.alphanum,0.3333333333333333,0.075
schuppo/PasswordStrengthPackage,0.38888888888888884,0.3333333333333333
shiyemin/voc2coco,0.16666666666666666,0.25
gadgetguru/PHP-Streaming-Audio,0.8333333333333333,0.75
Samourai-Wallet/samourai-dojo,0.4,0.046153846153846156
geeeeeeeek/stock_page,0.0,0.0
ElemeFE/vue-toast-mobile,0.1,0.03333333333333333
miguelgrinberg/flask-pycon2014,0.0,0.0
Roger13/SwagDefGen,0.0,0.0
jruby/joni,0.55,0.13333333333333333
yearofmoo-articles/AngularJS-Animation-Article,0.0,0.0
IsraelOrtuno/pipedrive,0.27999999999999997,0.12000000000000002
zhengmin1989/OS-X-10.11.6-Exp-via-PEGASUS,0.0,0.0
mafintosh/dns-packet,0.27999999999999997,0.1
gonzalocasas/node-proxy-middleware,0.18,0.08571428571428572
upplex/upBootstrap3WP,0.13,0.08571428571428572
alexeygrigorev/outbrain-click-prediction-kaggle,0.0,0.0
haskell/hie-bios,0.4533333333333333,0.15
benbalter/gman,0.25,0.25
antoniogarrote/clj-ml,0.25,1.0
Johankoi/MachoSignature,0.0,0.0
ibm-messaging/mq-jms-spring,0.05,0.02857142857142857
telstrapurple/DevEvents,0.2,1.0
punitpandey/ds-algo,0.0,0.0
simondevyoutube/MinecraftClone,0.0,0.0
cmgreen210/TensorFlowDeepAutoencoder,0.0,0.0
droberson/rtfm,0.0,0.0
igormq/asr-study,0.0,0.0
bsm/grape-kaminari,0.55,0.17142857142857143
anantzoid/VQA-Keras-Visual-Question-Answering,0.0,0.0
LeonBlade/PaisleyPark,0.4,0.075
quantopian/pgcontents,0.08333333333333333,0.1111111111111111
chen1218chen/vue-cli-multi-page,0.0,0.0
evernote/evernote-cloud-sdk-php,0.05,0.02857142857142857
toastdriven/shell,0.0,0.0
schoefmann/multi_db,0.0,0.0
ntt/eveapi,0.2,0.03333333333333333
dutu/poloniex-api-node,0.14666666666666667,0.06666666666666667
Aircoookie/WLED-App,0.125,0.0625
milo2012/CVE-2018-13382,0.0,0.0
bellbind/node-v4l2camera,0.4,0.05454545454545454
yuyu1987/pithy-test,0.0,0.0
laravel-notification-channels/webhook,0.16666666666666666,0.1111111111111111
jozemberi/PE-Crypter,1.0,1.0
twitterdev/account-activity-dashboard,0.06666666666666667,0.1111111111111111
Leeon123/golang-httpflood,0.3333333333333333,0.1111111111111111
caprica/vlcj-player,0.1,0.03333333333333333
ag-grid/ag-grid-react-example,0.27999999999999997,0.08571428571428572
GossiTheDog/scanning,0.25,0.0625
man-group/mdf,0.52,0.17142857142857143
joshkatz/r-script,0.42000000000000004,0.15
Gaurav-chatterjee/Harry-potter-Invisible-Cloak,0.0,0.0
Ademking/InstaPoster,0.125,0.0625
doorkeeper-gem/doorkeeper-openid_connect,0.1,0.02857142857142857
MajeurAndroid/android-applications-info,0.18,0.1
russelltomkins/Active-Directory,0.0,0.0
aserafin/grape_logging,0.1,0.02222222222222222
SpeedPHP/speed,0.0,0.0
ChrisRimondi/VulntoES,0.5,0.1875
