issue,topic
4,42
5,42
7,56
8,18
12,21
13,24
15,60
24,42
36,42
39,5
42,43
45,22
47,22
49,42
50,57
51,42
54,61
56,15
59,22
62,22
66,22
69,0
74,22
77,60
80,25
83,42
84,15
86,22
89,42
92,0
93,22
96,42
97,60
99,22
104,60
111,59
164,59
172,42
212,42
221,56
226,42
248,42
274,34
275,42
278,39
283,34
284,43
286,25
297,42
298,42
302,60
305,61
306,61
314,20
322,20
332,44
336,20
344,61
345,60
347,61
350,43
353,25
357,42
362,60
369,54
371,48
372,48
374,42
376,8
377,60
378,8
381,42
387,60
390,27
395,27
397,18
399,44
401,43
404,27
406,27
408,43
409,27
410,27
412,56
413,27
416,27
418,18
419,43
421,37
432,27
434,60
437,60
448,42
455,5
456,42
462,42
470,42
475,5
477,10
478,48
480,11
486,43
487,60
489,56
499,5
503,58
505,60
509,42
510,42
511,48
514,43
515,44
521,42
522,60
524,42
533,5
534,25
542,25
543,24
545,25
546,61
550,22
551,42
554,42
561,43
564,25
571,25
573,43
588,60
589,42
591,38
592,56
598,9
599,60
600,42
603,42
605,60
606,60
607,42
608,42
611,42
612,56
613,44
616,60
617,42
621,42
628,42
629,18
631,42
632,43
635,43
636,11
645,11
649,42
654,5
656,56
660,11
661,48
670,42
672,30
680,60
698,42
699,3
704,3
709,34
710,60
713,42
714,43
722,3
732,48
734,11
735,3
741,3
749,3
757,61
758,3
763,43
767,43
768,3
769,60
775,43
776,3
778,3
779,3
780,42
781,3
783,11
786,3
787,43
789,3
791,11
794,3
795,3
796,3
799,43
800,37
803,23
804,23
810,34
811,3
814,42
815,42
816,3
817,3
819,34
820,43
821,42
826,3
827,42
830,60
834,3
835,3
836,3
837,3
838,42
839,3
840,3
841,42
848,3
849,21
850,48
851,3
852,42
853,3
855,32
856,3
857,43
858,42
860,56
861,3
862,43
867,43
869,56
870,43
871,58
872,3
873,11
874,1
875,11
876,42
877,3
878,18
881,42
890,44
891,30
894,42
900,8
905,60
906,56
907,39
908,56
911,55
913,42
921,20
924,42
925,42
927,43
929,25
934,21
937,20
938,39
941,42
943,20
949,42
950,21
951,42
953,20
954,42
960,42
963,42
965,47
971,47
972,43
984,23
987,30
988,42
997,23
1001,43
1002,49
1006,56
1007,42
1012,49
1017,43
1018,42
1020,42
1037,56
1038,49
1073,8
1075,60
1078,42
1081,61
1085,56
1086,43
1087,25
1099,43
1104,57
1105,60
1117,56
1118,42
1119,15
1121,51
1125,42
1130,25
1135,57
1138,43
1141,39
1144,39
1152,42
1153,60
1154,44
1161,48
1162,42
1164,48
1165,42
1168,8
1171,48
1173,42
1175,60
1178,61
1184,18
1186,42
1193,42
1196,14
1197,56
1198,39
1200,26
1203,48
1204,42
1207,14
1208,14
1209,14
1212,14
1216,14
1217,14
1223,14
1228,43
1229,60
1235,18
1236,43
1238,43
1239,14
1241,56
1247,14
1251,14
1255,14
1256,14
1261,60
1262,14
1264,14
1266,14
1269,60
1275,14
1277,14
1280,14
1282,14
1290,14
1295,43
1299,42
1304,43
1305,61
1306,14
1307,14
1308,14
1312,43
1320,42
1323,42
1325,43
1336,61
1339,5
1340,61
1342,43
1349,42
1353,42
1356,42
1358,5
1360,61
1364,42
1365,61
1367,5
1368,5
1371,5
1373,42
1376,5
1377,38
1379,5
1380,42
1381,42
1385,42
1389,42
1390,42
1397,5
1398,5
1399,42
1402,42
1404,42
1406,5
1413,61
1414,5
1416,5
1418,5
1420,60
1421,61
1423,56
1428,17
1432,5
1434,5
1438,44
1439,60
1442,17
1444,50
1447,17
1453,39
1457,43
1459,39
1465,39
1472,42
1476,61
1481,39
1483,39
1484,39
1485,25
1486,60
1490,39
1512,43
1519,39
1520,39
1525,56
1526,39
1527,61
1566,1
1571,61
1577,60
1583,8
1589,8
1633,14
1634,14
1635,14
1640,49
1641,14
1645,14
1646,14
1647,39
1650,43
1655,14
1659,14
1664,14
1665,56
1670,44
1673,14
1675,56
1676,43
1688,25
1689,42
1691,14
1695,44
1696,42
1700,14
1701,39
1703,42
1707,14
1709,42
1710,14
1713,61
1717,14
1719,42
1720,44
1723,11
1724,14
1732,42
1745,14
1746,14
1754,61
1756,38
1757,35
1759,18
1779,60
1781,46
1782,44
1783,22
1788,42
1793,43
1794,43
1796,61
1797,43
1800,10
1808,10
1812,42
1816,60
1817,42
1818,56
1819,10
1820,43
1821,18
1823,18
1833,43
1839,10
1841,10
1842,10
1846,60
1856,43
1862,43
1864,10
1866,44
